Query ID|Query|Class Label
55365|lịch bán vé chung kết aff cup 2018|19
57875|thuê nhà nguyên căn tại phường vĩnh nguyên|13
39016|google camera|18
30731|gpx gentleman 150|16
41697|số điện thoại zalo gái nhận chat sex|14
27243|xeddap thể thao|16
51101|ví dụ về chiến lược bắt chước sản phẩm|17
21373|viec lam cho tot tphcm|9
15852|điều trị trĩ|10
35503|kệ để cây cảnh trong nhà|4
52340|cgv vạn hạnh mall|5
40542|cong dung cua đi bo|2
15125|glucose 30%|10
40261|việt nam đá với triều tiên|19
26012|nhan dinh bd dem nay|19
52692|việc làm văn phòng tại dĩ an bình dương|9
15543|xem diem|0
16315|công ty tân hùng cơ tuyển dụng|9
40178|nước hoa polo|3
17164|loantamquoc|8
15855|cách làm bánh pancake|7
53660|tim việc làm tai lào cai tháng 5nam 2018|9
34454|crown 1200 ebay|1
15768|trung tâm tiếng nhật núi trúc|7
12426|tổng hợp kiến thức toán 4|0
15996|tràn dịch màng phổi có nguy hiểm không|10
49728|các món rau xào ngon|7
28738|van hanh mall|7
34890|áo emspo|3
26830|xe oto toyota yaris|16
50469|viec lam cam ranh|9
52232|khách sạn green huế|15
57940|thailiberia|14
55049|sinh con trai vao ngay 24 thang 10 nam 2018 am lich nen dat ten la gi de ca doi con duoc an nhan hanh phuc|4
44877|game tìm điểm khác nhau|8
38547|naturenz|10
18572|thông tin tuyen dung viec lam tai long thanh|9
37031|quybacodon.com|14
35230|công ty elentec tuyển dụng 2019|9
41062|xu hướng thị trường mỹ phẩm việt nam 2019 branhvietnam|17
30262|mundo guide|8
53196|giá xe phương trang|15
52996|tên vô nghĩa|17
50184|nhảy nối vòng tay lớn|5
13598|f200-w2au|3
22746|bang thong ke xs bac ninh|11
44516|tim ban tibh lon tuoi qua sdt|14
19761|tim ban nam chat sex|14
19323|ram 4gb ddr3|1
22377|chu hoài bảo|5
32379|baam mp3|12
12404|tim ban gai quan he tinh duc o binh duong|14
26088|thực trạng về digital marketing tại việt nam|17
18089|kalista mua 8|8
57049|oto cu gia re 2019|16
24515|tác dụng của linh chi|10
25219|plaza.vn|1
32780|dong ho rolet thuy sy|3
13190|web chat zalo sex|14
42392|hopdongtinhyeu.com|14
23031|thẩm mỹ viện thu cúc|2
54717|link sopcast bóng đá|19
55969|soobin hoàng sơn|12
30131|tuyển sinh huflit|0
45506|sự kiện liên quân 2019|19
41188|việc làm bếp hà nội|9
23652|tổng đài xe phương trang|15
27298|văn 9 bài viết số 6 đề 2|0
47201|tìm bạn gái hải dương|14
44406|timbantinh.840|14
26523|smart cv|9
25473|cách sinh con ra mặt tươi như hoa|14
22332|tóc rễ tre có cắt được kiểu đầu nấm|2
26137|le bleu homestay|7
