|Query ID|Prediction
0|9764|18
1|4663|11
2|5089|13
3|401|3
4|2977|0
5|6643|4
6|6629|5
7|2239|15
8|2405|3
9|5879|17
10|9141|12
11|10193|11
12|6963|17
13|7310|10
14|6262|14
15|1865|4
16|8231|14
17|8321|0
18|6019|5
19|126|8
20|4987|11
21|11425|16
22|8791|0
23|1150|3
24|6692|6
25|5245|4
26|542|0
27|3690|17
28|3818|14
29|2279|12
30|9816|17
31|5512|6
32|8987|6
33|3325|2
34|4814|2
35|3654|11
36|563|10
37|1160|13
38|3638|12
39|8952|2
40|1889|18
41|5597|17
42|8045|0
43|10985|8
44|6483|14
45|7808|10
46|2715|13
47|3774|15
48|8651|18
49|5865|19
50|10398|0
51|188|0
52|8819|16
53|9423|15
54|4445|4
55|7964|2
56|2613|3
57|7930|16
58|5680|12
59|2282|14
60|4591|10
61|4347|17
62|7133|17
63|2059|16
64|4422|4
65|572|0
66|179|8
67|10780|16
68|4547|18
69|9862|13
70|9251|3
71|12363|11
72|5796|3
73|10749|9
74|11121|12
75|5087|6
76|2802|0
77|11231|8
78|11236|18
79|7433|6
80|10843|10
81|11439|8
82|11812|13
83|10562|5
84|8734|13
85|10907|17
86|980|2
87|6665|17
88|7532|14
89|2350|17
90|8388|13
91|1752|9
92|8528|6
93|11245|18
94|3682|14
95|7199|13
96|2592|10
97|7516|6
98|3714|11
99|3599|2
100|6497|17
101|1399|3
102|8125|16
103|4862|17
104|3331|6
105|11101|15
106|487|9
107|3261|13
108|10219|9
109|9226|17
110|4333|18
111|7343|2
112|4951|18
113|327|4
114|4460|11
115|2399|3
116|5588|14
117|9091|17
118|4307|6
119|1279|4
120|11807|14
121|7484|13
122|4327|15
123|2280|9
124|8679|17
125|8822|15
126|10127|17
127|1907|15
128|7963|3
129|7453|17
130|6446|15
131|9611|19
132|7730|18
133|6298|9
134|6407|2
135|10508|12
136|8501|11
137|8459|8
138|11654|19
139|2599|10
140|1922|9
141|8988|4
142|9858|5
143|7627|15
144|7206|12
145|7970|13
146|5409|9
147|410|17
148|1126|17
149|4185|10
150|4201|7
151|9544|7
152|2448|12
153|10678|8
154|1379|3
155|11372|11
156|11273|18
157|8191|16
158|9433|13
159|10964|4
160|6127|18
161|10204|9
162|11161|12
163|7641|7
164|3335|16
165|9383|2
166|5043|13
167|10044|3
168|5046|3
169|2123|19
170|7650|12
171|6301|17
172|10984|4
173|8454|0
174|8550|19
175|8396|5
176|10059|7
177|5235|12
178|8147|15
179|10589|1
180|5433|12
181|1732|16
182|2796|14
183|1723|13
184|9990|2
185|1759|4
186|9717|11
187|3082|13
188|6135|4
189|7653|2
190|4527|19
191|8261|6
192|5307|4
193|5743|5
194|5754|3
195|5538|16
196|1417|2
197|4023|10
198|3364|6
199|2559|1
200|10023|14
201|367|15
202|5800|15
203|528|14
204|6179|17
205|8670|10
206|329|13
207|2784|5
208|7404|15
209|8364|14
210|10961|3
211|8121|2
212|7660|4
213|7100|9
214|11100|12
215|2122|3
216|11282|8
217|4923|14
218|9525|4
219|2058|4
220|5490|0
221|6060|15
222|4465|17
223|8360|16
224|10847|0
225|813|17
226|207|6
227|5300|9
228|8277|2
229|10391|19
230|12447|11
231|1746|6
232|1191|1
233|3797|8
234|5920|19
235|9083|0
236|10277|0
237|11411|19
238|10073|9
239|7728|11
240|4427|12
241|10475|14
242|2793|7
243|8293|7
244|6236|2
245|10358|2
246|751|9
247|10500|3
248|6977|1
249|10299|9
250|6825|3
251|6772|9
252|1906|13
253|902|2
254|10632|10
255|11055|16
256|5167|7
257|2192|7
258|4446|4
259|5188|9
260|8448|15
261|4234|19
262|6889|16
263|862|2
264|11828|11
265|7394|4
266|9996|4
267|11284|17
268|2840|17
269|2736|15
270|11063|16
271|5925|10
272|3752|12
273|235|8
274|6655|18
275|7478|0
276|7831|18
277|5874|6
278|11299|2
279|2583|4
280|5977|14
281|9416|17
282|3875|8
283|1891|1
284|9196|18
285|4786|2
286|3895|14
287|7275|0
288|622|13
289|2886|18
290|9552|7
291|7138|9
292|3680|10
293|6679|14
294|11049|10
295|3652|3
296|6721|0
297|10665|19
298|4498|15
299|2596|17
300|3770|9
301|9563|19
302|9090|18
303|7145|19
304|2597|7
305|707|12
306|3337|7
307|2861|14
308|10385|0
309|3893|5
310|7767|0
311|10341|4
312|3829|3
313|255|16
314|1220|6
315|11652|18
316|10224|10
317|10020|14
318|4962|9
319|3139|1
320|6239|6
321|7119|1
322|2714|14
323|11242|9
324|6444|9
325|2716|12
326|8535|14
327|3765|13
328|4438|19
329|8492|10
330|8256|17
331|8793|14
332|2420|13
333|1686|15
334|7377|3
335|8602|8
336|1430|19
337|7551|13
338|9790|2
339|10910|8
340|9914|5
341|8471|3
342|5676|18
343|2406|14
344|951|4
345|6482|15
346|7185|17
347|6265|10
348|856|2
349|3421|4
350|7312|3
351|2492|4
352|2885|4
353|236|13
354|2883|6
355|8163|0
356|2965|10
357|5976|4
358|4598|19
359|10104|1
360|935|16
361|5294|18
362|9577|0
363|2874|9
364|7232|17
365|7474|5
366|8113|17
367|1984|2
368|9154|17
369|2733|2
370|8208|15
371|9317|12
372|8310|17
373|7033|10
374|10359|15
375|375|7
376|4639|5
377|4522|14
378|4304|14
379|9136|1
380|3816|2
381|7866|4
382|1044|17
383|9605|18
384|11122|0
385|7479|8
386|10995|9
387|9588|15
388|6691|16
389|511|8
390|3196|10
391|2577|16
392|8692|17
393|9294|14
394|2019|14
395|10069|9
396|6106|16
397|11392|10
398|7829|7
399|2374|12
400|5159|17
401|7087|2
402|1507|15
403|586|6
404|10514|17
405|9770|9
406|6910|0
407|8760|9
408|1728|10
409|11182|13
410|10047|1
411|1093|15
412|10658|13
413|3931|16
414|5155|12
415|11128|19
416|223|19
417|8445|7
418|9636|15
419|5059|9
420|6238|5
421|4994|3
422|7628|3
423|10141|3
424|5967|9
425|10133|2
426|6071|18
427|4595|15
428|5735|2
429|2989|6
430|9618|17
431|4847|15
432|8160|0
433|11406|16
434|10443|14
435|7657|3
436|1325|16
437|8146|8
438|9783|1
439|1035|19
440|7546|17
441|7238|17
442|7513|5
443|2035|14
444|11709|13
445|2967|9
446|6160|10
447|4710|9
448|2688|4
449|1608|18
450|200|5
451|1118|19
452|5820|1
453|1128|14
454|5314|17
455|680|8
456|10343|14
457|8708|6
458|7901|8
459|2835|13
460|2258|9
461|10603|7
462|11386|11
463|10564|17
464|8742|13
465|2018|16
466|8641|16
467|14|1
468|2552|1
469|2442|17
470|9585|18
471|2245|3
472|619|18
473|227|18
474|10901|6
475|11230|14
476|9835|2
477|3406|4
478|426|8
479|649|17
480|2373|16
481|10207|4
482|2686|17
483|11262|0
484|6557|15
485|1896|16
486|506|1
487|2798|5
488|9256|16
489|1662|10
490|5035|1
491|6139|14
492|692|7
493|9545|19
494|3917|2
495|5695|6
496|8496|11
497|3962|11
498|4524|5
499|7703|2
500|1979|19
501|2167|6
502|5524|9
503|6191|16
504|9541|5
505|9600|9
506|11742|18
507|10744|16
508|8856|12
509|1981|18
510|9834|2
511|5899|15
512|5854|10
513|1011|14
514|5463|5
515|11479|19
516|9075|9
517|5737|13
518|2648|19
519|7655|0
520|7426|6
521|3060|18
522|10683|0
523|6835|10
524|6768|16
525|5939|4
526|1640|16
527|7806|17
528|9173|15
529|7561|19
530|6349|2
531|10346|19
532|841|14
533|8861|18
534|6927|0
535|8069|14
536|4952|15
537|12378|11
538|8472|4
539|11031|13
540|10620|3
541|2260|10
542|10436|12
543|8633|9
544|1602|3
545|1588|5
546|451|1
547|162|12
548|4310|14
549|7009|9
550|9978|9
551|10317|2
552|6896|14
553|9011|16
554|7228|14
555|4753|13
556|2571|6
557|7451|17
558|10337|17
559|8570|15
560|4246|6
561|10972|3
562|9871|3
563|1421|9
564|4464|16
565|3035|8
566|10951|4
567|2620|14
568|6377|18
569|4629|5
570|7933|18
571|2199|0
572|2957|11
573|8785|17
574|10526|18
575|9167|16
576|1372|11
577|9208|19
578|10232|3
579|5520|5
580|7629|16
581|887|0
582|9929|13
583|4690|17
584|2345|17
585|3423|5
586|5293|13
587|11002|6
588|6209|13
589|2377|3
590|2138|0
591|3986|17
592|9221|7
593|1815|1
594|7239|12
595|5317|6
596|1641|2
597|4278|18
598|4689|9
599|1506|5
600|8780|17
601|7076|12
602|2657|2
603|10571|10
604|3096|3
605|7071|3
606|302|16
607|8250|17
608|1272|10
609|6003|0
610|2761|0
611|1675|17
612|10519|14
613|876|15
614|9499|12
615|8173|17
616|3007|7
617|3666|19
618|6569|11
619|7469|4
620|8425|2
621|7111|9
622|6904|10
623|1581|8
624|10673|13
625|8067|1
626|8075|2
627|1051|0
628|5969|13
629|9367|8
630|7702|9
631|4231|6
632|2667|7
633|5486|12
634|3450|5
635|9824|16
636|6380|17
637|4949|0
638|3950|0
639|10873|10
640|5522|3
641|3999|15
642|9392|7
643|8476|14
644|5901|4
645|5045|14
646|9586|7
647|1660|9
648|8209|3
649|11081|14
650|1070|10
651|6234|2
652|3430|7
653|3708|8
654|2665|0
655|3668|7
656|7773|13
657|8332|17
658|2668|19
659|8890|3
660|1477|10
661|4193|12
662|1785|7
663|397|7
664|8148|6
665|5122|9
666|7058|15
667|742|17
668|5551|13
669|7213|19
670|9055|0
671|11436|7
672|11886|11
673|158|2
674|11400|0
675|8235|12
676|8974|12
677|3400|15
678|4541|2
679|8395|3
680|2608|19
681|9650|14
682|3555|7
683|5026|2
684|199|16
685|2254|6
686|9439|13
687|6539|12
688|5546|15
689|7849|12
690|12440|11
691|8234|7
692|4284|16
693|9822|9
694|7495|6
695|4475|11
696|4164|16
697|7721|4
698|10881|14
699|2649|3
700|6785|13
701|1154|3
702|9057|13
703|8438|6
704|4959|9
705|10354|0
706|7977|0
707|6492|14
708|12897|11
709|7839|10
710|4252|2
711|681|7
712|888|3
713|7742|1
714|9542|10
715|5643|10
716|11331|3
717|1915|9
718|2988|17
719|3545|3
720|1599|16
721|1672|4
722|11495|12
723|8106|9
724|11339|10
725|4924|2
726|11126|16
727|6915|4
728|6545|13
729|10105|4
730|4462|11
731|5232|4
732|4682|3
733|6548|17
734|3724|19
735|3824|9
736|372|1
737|3128|9
738|403|8
739|80|0
740|9924|12
741|9818|19
742|5244|12
743|2380|0
744|6688|2
745|6604|2
746|9927|3
747|9407|14
748|1206|17
749|8817|3
750|11013|0
751|7533|14
752|710|3
753|6819|6
754|2093|19
755|9097|12
756|3169|6
